pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FT,9/22/19,91.3,-2.02,5.73,"Darvish, Yu",502671,506433,double,hit_into_play,,,,,13,Paul Goldschmidt doubles (25) on a ground ball to left fielder Nicholas Castellanos.   Tommy Edman scores.,R,R,R,CHC,STL,X,7,ground_ball,2,2,2019,-0.52,0.66,-0.87,1.13,,669242,,1,9,Top,33.9,105.81,,,605170,,,3.984752573,-132.9265582,-7.16901676,-6.921982972,23.88981356,-23.26901427,3.46,1.66,43,98.8,1,91.6,1778,6.1,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.44,0.46,0.416,1.25,1,1,1,4,61,5,2-Seam Fastball,2,2,2,2,3,2,3,2,Standard,Standard,218,-0.296,1.007
FF,9/22/19,97.2,-2.03,5.74,"Darvish, Yu",502671,506433,,ball,,,,,14,Paul Goldschmidt doubles (25) on a ground ball to left fielder Nicholas Castellanos.   Tommy Edman scores.,R,R,R,CHC,STL,B,,,1,2,2019,-0.64,1.6,1.08,2.05,,669242,,1,9,Top,,,,,605170,,,9.860400344,-141.1199496,-8.0980004,-10.7717377,29.64565758,-8.974817747,3.39,1.6,,,,97.8,2692,6.6,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,53.89,,,,,,,,61,4,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,202,0,0.06
FC,9/22/19,87.4,-2.19,5.69,"Darvish, Yu",502671,506433,,swinging_strike,,,,,4,Paul Goldschmidt doubles (25) on a ground ball to left fielder Nicholas Castellanos.   Tommy Edman scores.,R,R,R,CHC,STL,S,,,1,1,2019,0.58,-0.05,-0.3,2.46,,669242,,1,9,Top,,,,,605170,,,3.376118811,-127.4533238,-1.695838555,5.830321075,20.75231858,-32.59786272,3.46,1.66,,,,88,,6.1,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.41,,,,,,,,61,3,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,86,0,-0.078
FT,9/22/19,91,-1.97,5.76,"Darvish, Yu",502671,506433,,ball,,,,,14,Paul Goldschmidt doubles (25) on a ground ball to left fielder Nicholas Castellanos.   Tommy Edman scores.,R,R,R,CHC,STL,B,,,0,1,2019,-0.47,0.8,0.23,1.28,,,669242,1,9,Top,,,,,605170,,,6.514709304,-132.3357132,-7.101135164,-6.771316907,23.95111643,-21.60324138,3.46,1.66,,,,91.5,1721,6.3,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.21,,,,,,,,61,2,2-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,210,-0.06,0.037
FC,9/22/19,86.8,-2.02,5.83,"Darvish, Yu",502671,506433,,swinging_strike,,,,,5,Paul Goldschmidt doubles (25) on a ground ball to left fielder Nicholas Castellanos.   Tommy Edman scores.,R,R,R,CHC,STL,S,,,0,0,2019,0.59,-0.11,0.22,2.53,,,669242,1,9,Top,,,,,605170,,,4.153414148,-126.5359379,-1.612949356,5.616439914,20.85290654,-33.23708423,3.46,1.66,,,,87.2,2810,6,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.48,,,,,,,,61,1,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,80,0,-0.055
FF,9/22/19,92.6,-2.14,5.75,"Darvish, Yu",669242,506433,single,hit_into_play,,,,,9,Tommy Edman singles on a line drive to right fielder Jason Heyward.,R,L,R,CHC,STL,X,9,line_drive,0,1,2019,0.06,0.83,0.58,2.17,,,,1,9,Top,175.63,107.69,,,605170,,,6.799703525,-134.7674681,-5.1710822,-0.588304374,25.26638729,-21.33571377,3.46,1.66,191,86.4,14,92.8,2854,6.1,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.42,0.893,0.807,0.9,1,1,0,4,60,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,176,-0.06,0.3
FF,9/22/19,92.9,-2.2,5.83,"Darvish, Yu",669242,506433,,foul,,,,,2,Tommy Edman singles on a line drive to right fielder Jason Heyward.,R,L,R,CHC,STL,S,,,0,0,2019,-0.04,1.05,0.17,3,,,,1,9,Top,,,,,605170,,,6.123396651,-135.2658008,-3.781063977,-1.678633802,26.88361866,-18.78277687,3.02,1.42,,,,92.9,2742,6.1,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.44,,,,,,,,60,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,182,0,-0.03
KC,9/22/19,81.9,-2.07,5.7,"Darvish, Yu",451594,506433,sac_fly,hit_into_play,,,,,4,Dexter Fowler out on a sacrifice fly to center fielder Albert Almora.   Tyler O'Neill scores.,R,L,R,CHC,STL,X,8,fly_ball,2,2,2019,1.06,-1.11,-0.67,1.98,641933,,,0,9,Top,93.78,81.27,,,605170,,,1.147723706,-119.1482549,0.249286948,9.65870877,23.13122115,-42.85220919,3.02,1.42,289,79.7,32,81,2918,5.7,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.78,0.08,0.111,0,1,0,0,3,59,5,Knuckle Curve,2,1,1,2,2,2,2,2,Infield shift,Standard,44,0.008,-0.187
FC,9/22/19,92.1,-2.24,5.68,"Darvish, Yu",451594,506433,,foul,,,,,14,Dexter Fowler out on a sacrifice fly to center fielder Albert Almora.   Tyler O'Neill scores.,R,L,R,CHC,STL,S,,,2,1,2019,0.25,0.86,0.93,1.81,641933,,,0,9,Top,,,,,605170,,,7.488082179,-133.9931456,-5.887562318,1.636566622,25.16585108,-20.90840053,3.54,1.74,,,,92.3,2678,6.1,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.37,,,,,,,,59,4,Cutter,2,1,1,2,1,2,1,2,Infield shift,Standard,164,0,-0.136
FS,9/22/19,87.2,-1.94,5.81,"Darvish, Yu",451594,506433,,ball,,,,,11,Dexter Fowler out on a sacrifice fly to center fielder Albert Almora.   Tyler O'Neill scores.,R,L,R,CHC,STL,B,,,1,1,2019,-0.61,0.5,-1.09,3.08,641933,,,0,9,Top,,,,,605170,,,3.324261528,-127.1963824,-1.569047181,-7.308924856,21.51452405,-26.58122735,3.52,1.65,,,,88.2,1412,6.4,565204,506433,605170,664023,450314,623520,663538,592206,546991,518792,54.09,,,,,,,,59,3,Split-Finger,2,1,1,2,1,2,1,2,Infield shift,Standard,231,0,0.082
