Player,Player & Season,HR,Season,Age,triples_over_xbh,(3b + 1)/(2b + 3b + 1),Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,Single Team,Team & Year,3B,2B,Sprint Speed
Aaron Judge,Aaron Judge 2022,62,2022,30,0.000,0.034,NYY,AL,157,696,570,133,177,87,28,0,62,131,NYY,NYY 2022,85,94,27.6
Matt Olson,Matt Olson 2023,54,2023,29,0.100,0.129,ATL,NL,162,720,608,127,172,88,27,3,54,139,ATL,ATL 2023,98,100,26.2
Vladimir Guerrero Jr.,Vladimir Guerrero Jr. 2021,48,2021,22,0.033,0.065,TOR,AL,161,698,604,123,188,110,29,1,48,111,TOR,TOR 2021,108,104,26.6
Salvador Perez,Salvador Perez 2021,48,2021,31,0.000,0.040,KCR,AL,161,665,620,88,169,97,24,0,48,121,KCR,KCR 2021,110,108,25.3
Kyle Schwarber,Kyle Schwarber 2023,47,2023,30,0.050,0.095,PHI,NL,160,720,585,108,115,48,19,1,47,104,PHI,PHI 2023,106,98,26.5
Pete Alonso,Pete Alonso 2023,46,2023,28,0.087,0.125,NYM,NL,154,658,568,92,123,54,21,2,46,118,NYM,NYM 2023,82,94,28.1
Shohei Ohtani,Shohei Ohtani 2021,46,2021,26,0.235,0.257,LAA,AL,155,639,537,103,138,58,26,8,46,100,LAA,LAA 2021,99,98,28.6
Kyle Schwarber,Kyle Schwarber 2022,46,2022,29,0.125,0.160,PHI,NL,155,669,577,100,126,56,21,3,46,94,PHI,PHI 2022,106,98,26.2
Marcus Semien,Marcus Semien 2021,45,2021,30,0.049,0.071,TOR,AL,162,724,652,115,173,87,39,2,45,102,TOR,TOR 2021,108,104,25.9
Shohei Ohtani,Shohei Ohtani 2023,44,2023,28,0.235,0.257,LAA,AL,135,599,497,102,151,73,26,8,44,95,LAA,LAA 2023,99,98,27.5
Fernando Tatis Jr.,Fernando Tatis Jr. 2021,42,2021,22,0.000,0.031,SDP,NL,130,546,478,99,135,62,31,0,42,97,SDP,SDP 2021,82,96,28.5
Ronald Acuña Jr.,Ronald Acuña Jr. 2023,41,2023,25,0.103,0.125,ATL,NL,159,735,643,149,217,137,35,4,41,106,ATL,ATL 2023,98,100,
Pete Alonso,Pete Alonso 2022,40,2022,27,0.000,0.036,NYM,NL,160,685,597,95,162,95,27,0,40,131,NYM,NYM 2022,82,94,26
Marcell Ozuna,Marcell Ozuna 2023,40,2023,32,0.033,0.065,ATL,NL,144,592,530,84,145,75,29,1,40,100,ATL,ATL 2023,98,100,26.4
Mookie Betts,Mookie Betts 2023,39,2023,30,0.024,0.048,LAD,NL,152,693,584,126,179,99,40,1,39,107,LAD,LAD 2023,81,98,27.7
Adolis García,Adolis García 2023,39,2023,30,0.000,0.033,TEX,AL,148,632,555,108,136,68,29,0,39,107,TEX,TEX 2023,93,102,29.2
Mitch Haniger,Mitch Haniger 2021,39,2021,30,0.080,0.115,SEA,AL,157,691,620,110,157,93,23,2,39,100,SEA,SEA 2021,78,93,27.9
Aaron Judge,Aaron Judge 2021,39,2021,29,0.000,0.040,NYY,AL,148,633,550,89,158,95,24,0,39,98,NYY,NYY 2021,85,94,29.4
Brandon Lowe,Brandon Lowe 2021,39,2021,26,0.000,0.031,TBR,AL,149,615,535,97,132,62,31,0,39,99,TBR,TBR 2021,99,99,26.4
Matt Olson,Matt Olson 2021,39,2021,27,0.000,0.028,OAK,AL,156,673,565,101,153,79,35,0,39,111,OAK,OAK 2021,99,101,28.4
Rafael Devers,Rafael Devers 2021,38,2021,24,0.026,0.051,BOS,AL,156,664,591,101,165,89,37,1,38,113,BOS,BOS 2021,120,112,26.7
